paper_id	tool_id	stage_ids	paper_root	paper_status	open_access_status	primary_locator	supporting_locators	archive_status	notes
paper.fastq.kaiju.menzel-2016	kaiju	fastq.screen_taxonomy	science/docs/upstream/papers/paper.fastq.kaiju.menzel-2016	mapped	open_access_publisher	https://www.nature.com/articles/ncomms11257	https://github.com/bioinformatics-centre/kaiju;https://bioinformatics-centre.github.io/kaiju/	present	Main Kaiju paper; archive the open-access Nature Communications article/PDF and keep it tied to the source repository and project documentation packet.
paper.fastq.kraken2.wood-2019	kraken2	fastq.screen_taxonomy	science/docs/upstream/papers/paper.fastq.kraken2.wood-2019	mapped	open_access_publisher	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1891-0	https://github.com/DerrickWood/kraken2;https://ccb.jhu.edu/software/kraken2/	present	Main Kraken 2 paper; archive the open-access Genome Biology article/PDF and keep it tied to the source repository and project documentation packet.
paper.fastq.krakenuniq.breitwieser-2018	krakenuniq	fastq.screen_taxonomy	science/docs/upstream/papers/paper.fastq.krakenuniq.breitwieser-2018	mapped	open_access_publisher	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1568-0	https://github.com/fbreitwieser/krakenuniq;https://ccb.jhu.edu/software/krakenuniq/	present	Main KrakenUniq paper; archive the open-access Genome Biology article/PDF and keep it tied to the source repository and project documentation packet.
paper.fastq.leehom.renaud-2014	leehom	fastq.merge_pairs,fastq.trim_reads	science/docs/upstream/papers/paper.fastq.leehom.renaud-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4191382/	https://academic.oup.com/nar/article/42/18/e141/2434537;https://github.com/grenaud/leeHom	present	Main leeHom paper; archive the PMC/Europe PMC PDF and keep it tied to the source repository packet.
paper.fastq.lighter.song-2014	lighter	fastq.correct_errors	science/docs/upstream/papers/paper.fastq.lighter.song-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4248469/	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0509-9;https://github.com/mourisl/Lighter	present	Main Lighter paper; archive the open-access PMC copy and keep it tied to the source repository packet.
paper.fastq.multiqc.ewels-2016	multiqc	fastq.report_qc	science/docs/upstream/papers/paper.fastq.multiqc.ewels-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5039924/	https://academic.oup.com/bioinformatics/article/32/19/3047/2196507;https://github.com/multiqc/multiqc	present	Main MultiQC paper; archive the PMC/Europe PMC PDF and keep it tied to the source repository packet.
paper.fastq.musket.liu-2013	musket	fastq.correct_errors	science/docs/upstream/papers/paper.fastq.musket.liu-2013	mapped	open_access_publisher	https://academic.oup.com/bioinformatics/article/29/3/308/257257	https://sourceforge.net/projects/musket/	present	Main Musket paper; open-access OUP PDF is archived locally and kept tied to the release packet.
paper.fastq.pear.zhang-2014	pear	fastq.merge_pairs	science/docs/upstream/papers/paper.fastq.pear.zhang-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3933873/	https://academic.oup.com/bioinformatics/article/30/5/614/247231;https://cme.h-its.org/exelixis/web/software/pear/	present	Main PEAR paper; archive the PMC/Europe PMC PDF and keep it tied to the release packet.
paper.fastq.prinseq.schmieder-2011	prinseq	fastq.filter_low_complexity,fastq.filter_reads,fastq.profile_read_lengths,fastq.trim_reads	science/docs/upstream/papers/paper.fastq.prinseq.schmieder-2011	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3051327/	https://pubmed.ncbi.nlm.nih.gov/21278185/;https://academic.oup.com/bioinformatics/article/27/6/863/234914	present	Main PRINSEQ paper used for the governed PRINSEQ++ implementation; archive the PMC/Europe PMC PDF and keep the publisher locator.
paper.fastq.rcorrector.song-2015	rcorrector	fastq.correct_errors	science/docs/upstream/papers/paper.fastq.rcorrector.song-2015	mapped	open_access_publisher	https://gigascience.biomedcentral.com/articles/10.1186/s13742-015-0089-y	https://github.com/mourisl/Rcorrector	present	Main Rcorrector paper; archive the open-access publisher article/PDF and keep it tied to the source repository packet.
paper.fastq.seqfu.telatin-2021	seqfu	fastq.profile_read_lengths,fastq.profile_reads	science/docs/upstream/papers/paper.fastq.seqfu.telatin-2021	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC8148589/	https://pubmed.ncbi.nlm.nih.gov/34066939/	present	Main SeqFu paper; open-access PMC copy can be archived locally.
paper.fastq.seqkit.shen-2016	seqkit	fastq.filter_reads,fastq.normalize_abundance,fastq.profile_overrepresented_sequences,fastq.profile_reads,fastq.trim_reads,fastq.trim_terminal_damage	science/docs/upstream/papers/paper.fastq.seqkit.shen-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	https://pubmed.ncbi.nlm.nih.gov/27706213/	present	Main SeqKit paper; open-access PMC copy can be archived locally.
paper.fastq.seqkit-stats.shen-2016	seqkit_stats	fastq.profile_read_lengths,fastq.profile_reads	science/docs/upstream/papers/paper.fastq.seqkit-stats.shen-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	https://pubmed.ncbi.nlm.nih.gov/27706213/	present	SeqKit stats is part of the SeqKit project and uses the same primary publication as the seqkit tool surface.
paper.fastq.seqpurge.stenzel-2016	seqpurge	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.seqpurge.stenzel-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4862148/	https://github.com/imgag/ngs-bits	present	Main SeqPurge paper; keep it paired with the ngs-bits source tree used for the implementation.
paper.fastq.seqtk.software-citation	seqtk	fastq.validate_reads	science/docs/upstream/papers/paper.fastq.seqtk.software-citation	software_citation_only	project_repository	https://github.com/lh3/seqtk	https://www.nature.com/articles/s42003-025-07938-8	present	Seqtk currently resolves through its maintained source repository rather than a clearly governed canonical methods paper. The FastQDesign paper cites software repositories directly, including repository-style software evidence rather than a seqtk methods paper.
paper.fastq.skewer.jiang-2014	skewer	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.skewer.jiang-2014	mapped	open_access_publisher	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-15-182	https://github.com/relipmoc/skewer	present	Main Skewer paper; archive the open-access publisher article/PDF and keep it tied to the source repository packet.
paper.fastq.sortmerna.kopylova-2012	sortmerna	fastq.deplete_rrna	science/docs/upstream/papers/paper.fastq.sortmerna.kopylova-2012	mapped	open_access_publisher	https://academic.oup.com/bioinformatics/article/28/24/3211/246053	https://github.com/biocore/sortmerna	present	Main SortMeRNA paper; archive the open-access Bioinformatics article/PDF and keep it tied to the source repository packet.
paper.fastq.star.dobin-2013	star	fastq.index_reference	science/docs/upstream/papers/paper.fastq.star.dobin-2013	mapped	free_pmc_not_open_access	https://academic.oup.com/bioinformatics/article-abstract/29/1/15/272537	https://pmc.ncbi.nlm.nih.gov/articles/PMC3530905/;https://github.com/alexdobin/STAR	present	Main STAR paper; use the Bioinformatics DOI landing page as citation locator and keep PMC/source repository locators as access and implementation evidence. The PMC OA utility reports this PMCID is not Open Access, so a local PDF payload still requires access-compliant acquisition.
paper.fastq.trim-galore.software-citation	trim_galore	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.trim-galore.software-citation	software_citation_only	software_release_doi	https://doi.org/10.5281/zenodo.7598955	https://github.com/FelixKrueger/TrimGalore;https://www.bioinformatics.babraham.ac.uk/projects/trim_galore/;https://www.nature.com/articles/s41467-021-25862-3	present	Trim Galore has no dedicated peer-reviewed methods paper; use the Zenodo software-release DOI as the strongest citation locator, keep the repository/project page for software provenance, and retain the Nature Communications usage paper only as supporting usage context.
paper.fastq.trimmomatic.bolger-2014	trimmomatic	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.trimmomatic.bolger-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4103590/	https://pubmed.ncbi.nlm.nih.gov/24695404/;https://www.usadellab.org/cms/?page=trimmomatic	present	Main Trimmomatic paper; archive the open-access PMC copy and keep it tied to the upstream release page.
paper.fastq.umi-tools.smith-2017	umi_tools	fastq.extract_umis	science/docs/upstream/papers/paper.fastq.umi-tools.smith-2017	mapped	open_access_publisher	https://genome.cshlp.org/content/27/3/491	https://github.com/CGATOxford/UMI-tools;https://umi-tools.readthedocs.io/	present	Main UMI-tools paper; archive the open-access publisher article together with the upstream repository and docs.
paper.fastq.vsearch.rognes-2016	vsearch	fastq.cluster_otus,fastq.merge_pairs,fastq.remove_chimeras	science/docs/upstream/papers/paper.fastq.vsearch.rognes-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5075697/	https://github.com/torognes/vsearch	present	Main VSEARCH paper; archive the open-access PMC copy and keep it tied to the upstream repository packet.
