paper_id	tool_id	paper_root	paper_status	open_access_status	primary_locator	supporting_locators	notes
paper.fastq.dada2.callahan-2016	dada2	science/docs/upstream/papers/paper.fastq.dada2.callahan-2016	mapped	licensed_or_abstract_only	https://www.nature.com/articles/nmeth.3869	https://pubmed.ncbi.nlm.nih.gov/27214047/	Main DADA2 methods paper; use the Nature article when licensed access is available.
paper.fastq.fastuniq.xu-2012	fastuniq	science/docs/upstream/papers/paper.fastq.fastuniq.xu-2012	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3527383/	https://sourceforge.net/projects/fastuniq/	Main FastUniq paper; open-access PMC copy can be archived locally.
paper.fastq.seqpurge.stenzel-2016	seqpurge	science/docs/upstream/papers/paper.fastq.seqpurge.stenzel-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4862148/	https://github.com/imgag/ngs-bits	Main SeqPurge paper; keep it paired with the ngs-bits source tree used for the implementation.
paper.fastq.dustmasker.morgulis-2006	dustmasker	science/docs/upstream/papers/paper.fastq.dustmasker.morgulis-2006	mapped	licensed_or_abstract_only	https://journals.sagepub.com/doi/abs/10.1089/cmb.2006.13.1028	https://pubmed.ncbi.nlm.nih.gov/16796549/;https://www.ncbi.nlm.nih.gov/IEB/ToolBox/CPP_DOC/lxr/source/src/app/dustmasker/	Main Morgulis et al. SDUST paper cited by the NCBI DustMasker source page; use the DOI publisher landing page as the citation locator and keep PubMed/source-page locators as supporting evidence.
paper.fastq.vsearch.rognes-2016	vsearch	science/docs/upstream/papers/paper.fastq.vsearch.rognes-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5075697/	https://github.com/torognes/vsearch	Main VSEARCH paper; archive the open-access PMC copy and keep it tied to the upstream repository packet.
paper.fastq.adapterremoval.schubert-2016	adapterremoval	science/docs/upstream/papers/paper.fastq.adapterremoval.schubert-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4751634/	https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-016-1900-2;https://github.com/MikkelSchubert/adapterremoval	Main AdapterRemoval v2 paper; archive the open-access PMC copy and keep it tied to the source repository packet.
paper.fastq.alientrimmer.criscuolo-2013	alientrimmer	science/docs/upstream/papers/paper.fastq.alientrimmer.criscuolo-2013	mapped	licensed_or_abstract_only	https://pubmed.ncbi.nlm.nih.gov/23912058/	https://www.sciencedirect.com/science/article/pii/S0888754313001481;https://pmc.ncbi.nlm.nih.gov/articles/PMC4026695/	Main AlienTrimmer paper; ScienceDirect publisher PDF is archived locally. Keep the 2014 Frontiers commentary as supporting performance context, not as a replacement for the 2013 methods paper.
paper.fastq.alientrimmer.criscuolo-2014-commentary	alientrimmer	science/docs/upstream/papers/paper.fastq.alientrimmer.criscuolo-2014-commentary	supporting_context	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4026695/	https://pubmed.ncbi.nlm.nih.gov/24860597/;https://doi.org/10.3389/fgene.2014.00130	Supporting Frontiers commentary on AlienTrimmer sensitivity in short-insert paired-end reads; archive the open-access PMC/Frontiers PDF as context for trimming claims.
paper.fastq.bayeshammer.nikolenko-2013	bayeshammer	science/docs/upstream/papers/paper.fastq.bayeshammer.nikolenko-2013	mapped	open_access_publisher	https://link.springer.com/article/10.1186/1471-2164-14-S1-S7	https://github.com/ablab/spades;https://bioinf.spbau.ru/en/spades/bayeshammer	Main BayesHammer paper; archive the open-access Springer/BMC PDF and keep it tied to the SPAdes source tree.
paper.fastq.bijux-dna.software-citation	bijux_dna	science/docs/upstream/papers/paper.fastq.bijux-dna.software-citation	software_citation_only	project_repository	https://github.com/bijux/bijux-genomics	science/docs/upstream/github-repos/archives/bijux--bijux-genomics.tar.gz	Internal planned FASTQ contract-harness stages resolve through the governed bijux-genomics repository archive; do not treat this as a standalone peer-reviewed tool paper.
paper.fastq.bbduk.bbtools-software-citation	bbduk	science/docs/upstream/papers/paper.fastq.bbduk.bbtools-software-citation	software_citation_only	project_homepage	https://bbmap.org/tools/bbduk	https://bbmap.org/	BBDuk currently resolves through the official BBTools documentation and release surface rather than a clearly governed standalone paper.
paper.fastq.bbmerge.bushnell-2017	bbmerge	science/docs/upstream/papers/paper.fastq.bbmerge.bushnell-2017	mapped	open_access_publisher	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185056	https://pmc.ncbi.nlm.nih.gov/articles/PMC5657622/	Main BBMerge paper; archive the open-access publisher or PMC copy and keep it tied to the BBTools packet.
paper.fastq.bowtie2.langmead-2012	bowtie2	science/docs/upstream/papers/paper.fastq.bowtie2.langmead-2012	mapped	open_access_pmc	https://www.nature.com/articles/nmeth.1923	https://pmc.ncbi.nlm.nih.gov/articles/PMC3322381/;https://github.com/BenLangmead/bowtie2	Main Bowtie 2 paper; use the Nature DOI landing page as citation locator and keep PMC/source repository locators as access and implementation evidence.
paper.fastq.bowtie2-build.langmead-2012	bowtie2_build	science/docs/upstream/papers/paper.fastq.bowtie2-build.langmead-2012	mapped	open_access_pmc	https://www.nature.com/articles/nmeth.1923	https://pmc.ncbi.nlm.nih.gov/articles/PMC3322381/;https://github.com/BenLangmead/bowtie2	bowtie2-build is the governed index-building surface for Bowtie 2; archive the same Langmead and Salzberg paper context under a build-surface root so closure checks stay tool-specific.
paper.fastq.centrifuge.kim-2016	centrifuge	science/docs/upstream/papers/paper.fastq.centrifuge.kim-2016	mapped	open_access_pmc	https://genome.cshlp.org/content/26/12/1721	https://pmc.ncbi.nlm.nih.gov/articles/PMC5131823/;https://github.com/DaehwanKimLab/centrifuge	Main Centrifuge paper; use the Genome Research DOI landing page as citation locator and keep PMC/source repository locators as access and implementation evidence.
paper.fastq.clumpify.bbtools-software-citation	clumpify	science/docs/upstream/papers/paper.fastq.clumpify.bbtools-software-citation	software_citation_only	project_homepage	https://bbmap.org/tools/clumpify	https://bbmap.org/	Clumpify currently resolves through the official BBTools documentation and release surface rather than a clearly governed standalone paper.
paper.fastq.fastq-scan.software-citation	fastq_scan	science/docs/upstream/papers/paper.fastq.fastq-scan.software-citation	software_citation_only	project_repository	https://github.com/rpetit3/fastq-scan	https://www.robertpetit.com/software/fastq-scan/	fastq-scan currently resolves through the maintained source repository and project page rather than a canonical methods paper.
paper.fastq.fastq-screen.wingett-2018	fastq_screen	science/docs/upstream/papers/paper.fastq.fastq-screen.wingett-2018	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC6124377/	https://pubmed.ncbi.nlm.nih.gov/30254741/;https://doi.org/10.12688/f1000research.15931.2;https://github.com/StevenWingett/FastQ-Screen;https://www.bioinformatics.babraham.ac.uk/projects/fastq_screen/	Main FastQ Screen paper; archive the open-access F1000Research/PMC PDF and keep it tied to the source repository and Babraham project page.
paper.fastq.fastx-toolkit.software-citation	fastx_clipper	science/docs/upstream/papers/paper.fastq.fastx-toolkit.software-citation	software_citation_only	project_repository	https://github.com/agordon/fastx_toolkit	http://hannonlab.cshl.edu/fastx_toolkit/	FASTX-Toolkit currently resolves through source/project-homepage evidence rather than a clearly governed canonical paper; fastx_clipper is treated as a FASTX-Toolkit component rather than a standalone publication.
paper.fastq.flash.magoc-2011	flash2	science/docs/upstream/papers/paper.fastq.flash.magoc-2011	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3198573/	https://pubmed.ncbi.nlm.nih.gov/21903629/;https://academic.oup.com/bioinformatics/article/27/21/2957/217265	Main FLASH paper used for FLASH2 lineage evidence; archive the PMC/Europe PMC PDF and keep the publisher locator.
paper.fastq.fqtools.droop-2016	fqtools	science/docs/upstream/papers/paper.fastq.fqtools.droop-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4908325/	https://academic.oup.com/bioinformatics/article/32/12/1883/1743958;https://github.com/alastair-droop/fqtools	Main fqtools paper; archive the PMC/Europe PMC PDF and keep it tied to the source repository packet.
paper.fastq.kaiju.menzel-2016	kaiju	science/docs/upstream/papers/paper.fastq.kaiju.menzel-2016	mapped	open_access_publisher	https://www.nature.com/articles/ncomms11257	https://github.com/bioinformatics-centre/kaiju;https://bioinformatics-centre.github.io/kaiju/	Main Kaiju paper; archive the open-access Nature Communications article/PDF and keep it tied to the source repository and project documentation packet.
paper.fastq.kraken2.wood-2019	kraken2	science/docs/upstream/papers/paper.fastq.kraken2.wood-2019	mapped	open_access_publisher	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1891-0	https://github.com/DerrickWood/kraken2;https://ccb.jhu.edu/software/kraken2/	Main Kraken 2 paper; archive the open-access Genome Biology article/PDF and keep it tied to the source repository and project documentation packet.
paper.fastq.krakenuniq.breitwieser-2018	krakenuniq	science/docs/upstream/papers/paper.fastq.krakenuniq.breitwieser-2018	mapped	open_access_publisher	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1568-0	https://github.com/fbreitwieser/krakenuniq;https://ccb.jhu.edu/software/krakenuniq/	Main KrakenUniq paper; archive the open-access Genome Biology article/PDF and keep it tied to the source repository and project documentation packet.
paper.fastq.leehom.renaud-2014	leehom	science/docs/upstream/papers/paper.fastq.leehom.renaud-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4191382/	https://academic.oup.com/nar/article/42/18/e141/2434537;https://github.com/grenaud/leeHom	Main leeHom paper; archive the PMC/Europe PMC PDF and keep it tied to the source repository packet.
paper.fastq.lighter.song-2014	lighter	science/docs/upstream/papers/paper.fastq.lighter.song-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4248469/	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0509-9;https://github.com/mourisl/Lighter	Main Lighter paper; archive the open-access PMC copy and keep it tied to the source repository packet.
paper.fastq.multiqc.ewels-2016	multiqc	science/docs/upstream/papers/paper.fastq.multiqc.ewels-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5039924/	https://academic.oup.com/bioinformatics/article/32/19/3047/2196507;https://github.com/multiqc/multiqc	Main MultiQC paper; archive the PMC/Europe PMC PDF and keep it tied to the source repository packet.
paper.fastq.musket.liu-2013	musket	science/docs/upstream/papers/paper.fastq.musket.liu-2013	mapped	open_access_publisher	https://academic.oup.com/bioinformatics/article/29/3/308/257257	https://sourceforge.net/projects/musket/	Main Musket paper; open-access OUP PDF is archived locally and kept tied to the release packet.
paper.fastq.pear.zhang-2014	pear	science/docs/upstream/papers/paper.fastq.pear.zhang-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3933873/	https://academic.oup.com/bioinformatics/article/30/5/614/247231;https://cme.h-its.org/exelixis/web/software/pear/	Main PEAR paper; archive the PMC/Europe PMC PDF and keep it tied to the release packet.
paper.fastq.prinseq.schmieder-2011	prinseq	science/docs/upstream/papers/paper.fastq.prinseq.schmieder-2011	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3051327/	https://pubmed.ncbi.nlm.nih.gov/21278185/;https://academic.oup.com/bioinformatics/article/27/6/863/234914	Main PRINSEQ paper used for the governed PRINSEQ++ implementation; archive the PMC/Europe PMC PDF and keep the publisher locator.
paper.fastq.rcorrector.song-2015	rcorrector	science/docs/upstream/papers/paper.fastq.rcorrector.song-2015	mapped	open_access_publisher	https://gigascience.biomedcentral.com/articles/10.1186/s13742-015-0089-y	https://github.com/mourisl/Rcorrector	Main Rcorrector paper; archive the open-access publisher article/PDF and keep it tied to the source repository packet.
paper.fastq.seqtk.software-citation	seqtk	science/docs/upstream/papers/paper.fastq.seqtk.software-citation	software_citation_only	project_repository	https://github.com/lh3/seqtk	https://www.nature.com/articles/s42003-025-07938-8	Seqtk currently resolves through its maintained source repository rather than a clearly governed canonical methods paper. The FastQDesign paper cites software repositories directly, including repository-style software evidence rather than a seqtk methods paper.
paper.fastq.skewer.jiang-2014	skewer	science/docs/upstream/papers/paper.fastq.skewer.jiang-2014	mapped	open_access_publisher	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-15-182	https://github.com/relipmoc/skewer	Main Skewer paper; archive the open-access publisher article/PDF and keep it tied to the source repository packet.
paper.fastq.sortmerna.kopylova-2012	sortmerna	science/docs/upstream/papers/paper.fastq.sortmerna.kopylova-2012	mapped	open_access_publisher	https://academic.oup.com/bioinformatics/article/28/24/3211/246053	https://github.com/biocore/sortmerna	Main SortMeRNA paper; archive the open-access Bioinformatics article/PDF and keep it tied to the source repository packet.
paper.fastq.star.dobin-2013	star	science/docs/upstream/papers/paper.fastq.star.dobin-2013	mapped	free_pmc_not_open_access	https://academic.oup.com/bioinformatics/article-abstract/29/1/15/272537	https://pmc.ncbi.nlm.nih.gov/articles/PMC3530905/;https://github.com/alexdobin/STAR	Main STAR paper; use the Bioinformatics DOI landing page as citation locator and keep PMC/source repository locators as access and implementation evidence. The PMC OA utility reports this PMCID is not Open Access, so a local PDF payload still requires access-compliant acquisition.
paper.fastq.trim-galore.software-citation	trim_galore	science/docs/upstream/papers/paper.fastq.trim-galore.software-citation	software_citation_only	software_release_doi	https://doi.org/10.5281/zenodo.7598955	https://github.com/FelixKrueger/TrimGalore;https://www.bioinformatics.babraham.ac.uk/projects/trim_galore/;https://www.nature.com/articles/s41467-021-25862-3	Trim Galore has no dedicated peer-reviewed methods paper; use the Zenodo software-release DOI as the strongest citation locator, keep the repository/project page for software provenance, and retain the Nature Communications usage paper only as supporting usage context.
paper.fastq.trimmomatic.bolger-2014	trimmomatic	science/docs/upstream/papers/paper.fastq.trimmomatic.bolger-2014	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4103590/	https://pubmed.ncbi.nlm.nih.gov/24695404/;https://www.usadellab.org/cms/?page=trimmomatic	Main Trimmomatic paper; archive the open-access PMC copy and keep it tied to the upstream release page.
