stage_id	tool_id	decision_mode	correctness_signal	result_ids	report_row_ids	corpus_ids	report_sections	row_statuses	score_status	truth_correctness_score	truth_correctness_basis	contract_correctness_score	contract_correctness_basis	genotype_truth_metric_value	genotype_truth_metric_basis	missingness_metric_value	missingness_metric_basis	phasing_imputation_metric_value	phasing_imputation_metric_basis	population_metric_value	population_metric_basis	scientific_metric_ids	scientific_metric_summary	runtime_seconds	runtime_source	observed_memory_mb	declared_memory_mb	memory_source	failure_class	micro_execution_status	score_weight_coverage	score_total	evidence_paths	reason
vcf.pca	eigensoft	multi_tool_ranking	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.pca:vcf_cohort:eigensoft	vcf:vcf_production_regression:vcf.pca:vcf_cohort:eigensoft	vcf_production_regression	population_structure	present	scored	0.000000	sample_complete_projection	1.000000	PCA smoke preserved governed eigenvalue and coordinate outputs							2.000000	variant_count	sample_count,variant_count	sample_count=4; variant_count=2; eigenvalue_count=2; execution_mode=fallback_proxy	0.055245	local_smoke_report			not_available	none		0.900000	0.166667	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.pca/eigensoft/pca.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.pca	plink2	multi_tool_ranking	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.pca:vcf_cohort:plink2	vcf:vcf_production_regression:vcf.pca:vcf_cohort:plink2	vcf_production_regression	population_structure	present	scored	0.000000	sample_complete_projection	1.000000	PCA smoke preserved governed eigenvalue and coordinate outputs							2.000000	variant_count	sample_count,variant_count	sample_count=4; variant_count=2; eigenvalue_count=2; execution_mode=fallback_proxy	0.027269	local_smoke_report			not_available	none		0.900000	0.333333	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.pca/plink2/pca.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.phasing	shapeit5	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.phasing:vcf_cohort_with_panel:shapeit5	vcf:vcf_production_regression:vcf.phasing:vcf_cohort_with_panel:shapeit5	vcf_production_regression	phasing	present	scored	1.000000	phased_genotype_fraction	1.000000	phasing smoke preserved governed phased VCF, QC, and manifest outputs					1.000000	phased_genotype_fraction			phase_block_n50,switch_error_proxy	phase_set_count=2; sample_count=2; unphased_genotypes=0	1.000000	not_available		4096.000000	declared_stage_tool_resource	none	succeeded	1.000000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.phasing/shapeit5/metrics.json,/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf/vcf.phasing/shapeit5/stage-result.json	scored from 2 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.population_structure	plink2	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.population_structure:vcf_cohort:plink2	vcf:vcf_production_regression:vcf.population_structure:vcf_cohort:plink2	vcf_production_regression	population_structure	present	scored	1.000000	status_complete	1.000000	population-structure smoke preserved governed distance summaries and consumed PCA/admixture evidence							6.000000	pair_count	pair_count,sample_count	sample_count=4; pair_count=6; within_population_pair_count=2; cross_population_pair_count=4	0.076865	not_available		4096.000000	declared_stage_tool_resource	none	succeeded	1.000000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.population_structure/plink2/population_structure.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.postprocess	bcftools	single_tool_acceptance	output_contract	vcf:vcf_production_regression:vcf.postprocess:vcf_single_sample:bcftools	vcf:vcf_production_regression:vcf.postprocess:vcf_single_sample:bcftools	vcf_production_regression	normalization	present	scored			1.000000	postprocess smoke preserved governed readability, contig, and indexing outputs										record_count=4; multiallelic_records_split=1; indels_normalized=2; variant_ids_normalized=4		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.postprocess/bcftools/metrics.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.prepare_reference_panel	bcftools	single_tool_acceptance	output_contract	vcf:vcf_production_regression:vcf.prepare_reference_panel:vcf_reference_panel:bcftools	vcf:vcf_production_regression:vcf.prepare_reference_panel:vcf_reference_panel:bcftools	vcf_production_regression	reference_panel_preparation	present	scored			1.000000	reference-panel preparation smoke preserved governed normalized panel outputs										panel_id=hsapiens_grch38_mini; map_id=hsapiens_grch38_chr_map; input_variants=5; output_variants=4; duplicate_sites_removed=1		not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.prepare_reference_panel/bcftools/metrics.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.qc	bcftools	multi_tool_ranking	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.qc:vcf_cohort:bcftools	vcf:vcf_production_regression:vcf.qc:vcf_cohort:bcftools	vcf_production_regression	quality_control	present	scored	0.813056	mean_missingness_info_rsq_score	1.000000	QC smoke summary preserved governed missingness and imputation-quality outputs			0.666667	one_minus_missingness_post	0.872500	rsq_mean			concordance,imputation_info_mean,missingness_post,rsq_mean	missingness_pre=0.333333; missingness_post=0.333333; imputation_info_mean=0.900000; rsq_mean=0.872500; excluded_samples=1; excluded_variants=1		not_available			not_available	none		0.750000	0.850444	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.qc/bcftools/qc_summary.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.qc	plink	multi_tool_ranking	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.qc:vcf_cohort:plink	vcf:vcf_production_regression:vcf.qc:vcf_cohort:plink	vcf_production_regression	quality_control	present	scored	0.813056	mean_missingness_info_rsq_score	1.000000	QC smoke summary preserved governed missingness and imputation-quality outputs			0.666667	one_minus_missingness_post	0.872500	rsq_mean			concordance,imputation_info_mean,missingness_post,rsq_mean	missingness_pre=0.333333; missingness_post=0.333333; imputation_info_mean=0.900000; rsq_mean=0.872500; excluded_samples=1; excluded_variants=1		not_available			not_available	none		0.750000	0.850444	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.qc/plink/qc_summary.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.qc	plink2	multi_tool_ranking	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.qc:vcf_cohort:plink2	vcf:vcf_production_regression:vcf.qc:vcf_cohort:plink2	vcf_production_regression	quality_control	present	scored	0.813056	mean_missingness_info_rsq_score	1.000000	QC smoke summary preserved governed missingness and imputation-quality outputs			0.666667	one_minus_missingness_post	0.872500	rsq_mean			concordance,imputation_info_mean,missingness_post,rsq_mean	missingness_pre=0.333333; missingness_post=0.333333; imputation_info_mean=0.900000; rsq_mean=0.872500; excluded_samples=1; excluded_variants=1		not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.868039	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.qc/plink2/qc_summary.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.roh	plink2	single_tool_acceptance	output_contract	vcf:vcf_production_regression:vcf.roh:vcf_cohort:plink2	vcf:vcf_production_regression:vcf.roh:vcf_cohort:plink2	vcf_production_regression	runs_of_homozygosity	present	scored			1.000000	ROH smoke preserved governed segment and per-sample summary outputs										segment_count=8; sample_count=4; total_length=8.000000	0.049731	local_smoke_report			not_available	none		0.900000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.roh/plink2/roh.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.stats	bcftools	single_tool_acceptance	output_contract	vcf:vcf_production_regression:vcf.stats:vcf_cohort:bcftools	vcf:vcf_production_regression:vcf.stats:vcf_cohort:bcftools	vcf_production_regression	quality_control	present	scored			1.000000	stats smoke preserved governed variant totals and annotation coverage			1.000000	one_minus_missingness_post						variants_total=4; snps=3; indels=1; ti_tv=2.000000; heterozygosity_ratio=2.000000		not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.stats/bcftools/stats.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
