stage_id	tool_id	evidence_kind	primary_locator	supporting_locators	local_payload_path	payload_access_status	reference_asset_status	container_ref_status	resolved_image_digest	resolved_sif_sha256	license_status	runtime_surface_status	planner_digest_status	sbom_status	smoke_status	behavioral_qa_status	registry_status	closure_status	blocking_reason	owner	last_verified_utc
fastq.profile_reads	seqkit_stats	paper	https://github.com/shenwei356/seqkit	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	science/docs/upstream/fastq/tools/seqkit_stats/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.deplete_rrna	sortmerna	paper	https://github.com/biocore/sortmerna	paper:https://academic.oup.com/bioinformatics/article/28/24/3211/246053	science/docs/upstream/fastq/tools/sortmerna/repo	ready	rrna_database_lock	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	reference_asset_status:rrna_database_lock;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
fastq.merge_pairs	pear	paper	https://cme.h-its.org/exelixis/web/software/pear/	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC3933873/	science/docs/upstream/fastq/tools/pear/download	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.remove_duplicates	clumpify	software_citation	https://bbmap.org/tools/clumpify	software:https://bbmap.org/tools/clumpify	science/docs/upstream/fastq/tools/clumpify/download	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.filter_low_complexity	bbduk	software_citation	https://bbmap.org/tools/bbduk	software:https://bbmap.org/tools/bbduk	science/docs/upstream/fastq/tools/bbduk/download	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.deplete_host	bowtie2	paper	https://github.com/BenLangmead/bowtie2	paper:https://www.nature.com/articles/nmeth.1923	science/docs/upstream/fastq/tools/bowtie2/repo	ready	reference_bank	tag_only			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	reference_asset_status:reference_bank;container_ref_status:tag_only;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
fastq.deplete_reference_contaminants	bowtie2	paper	https://github.com/BenLangmead/bowtie2	paper:https://www.nature.com/articles/nmeth.1923	science/docs/upstream/fastq/tools/bowtie2/repo	ready	contaminant_db_bank	tag_only			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	reference_asset_status:contaminant_db_bank;container_ref_status:tag_only;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
fastq.correct_errors	rcorrector	paper	https://github.com/mourisl/Rcorrector	paper:https://gigascience.biomedcentral.com/articles/10.1186/s13742-015-0089-y	science/docs/upstream/fastq/tools/rcorrector/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.extract_umis	umi_tools	paper	https://github.com/CGATOxford/UMI-tools	paper:https://genome.cshlp.org/content/27/3/491	science/docs/upstream/fastq/tools/umi_tools/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.profile_overrepresented_sequences	fastqc	software_citation	https://github.com/s-andrews/FastQC	software:https://www.bioinformatics.babraham.ac.uk/projects/fastqc/	science/docs/upstream/fastq/tools/fastqc/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.remove_chimeras	vsearch	paper	https://github.com/torognes/vsearch	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5075697/	science/docs/upstream/fastq/tools/vsearch/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.infer_asvs	dada2	paper	https://github.com/benjjneb/dada2	paper:https://www.nature.com/articles/nmeth.3869	science/docs/upstream/fastq/tools/dada2/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.cluster_otus	vsearch	paper	https://github.com/torognes/vsearch	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5075697/	science/docs/upstream/fastq/tools/vsearch/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.normalize_abundance	seqkit	paper	https://github.com/shenwei356/seqkit	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	science/docs/upstream/fastq/tools/seqkit/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.screen_taxonomy	kraken2	paper	https://github.com/DerrickWood/kraken2	paper:https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1891-0	science/docs/upstream/fastq/tools/kraken2/repo	ready	taxonomy_database_lock	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	reference_asset_status:taxonomy_database_lock;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
fastq.report_qc	multiqc	paper	https://github.com/multiqc/multiqc	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5039924/	science/docs/upstream/fastq/tools/multiqc/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.estimate_library_complexity_prealign	bijux_dna	software_citation	https://github.com/bijux/bijux-genomics	software:https://github.com/bijux/bijux-genomics	science/docs/upstream/fastq/tools/bijux_dna/repo	archive:missing;paper:software_citation_only	ready	tag_only			ready	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	payload_access_status:archive:missing;paper:software_citation_only;container_ref_status:tag_only;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-science	not_recorded
